Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2018-12-16,18,4,0.155119345,6.20E-04
2018-12-16,19,0,0.155909696,0
2018-12-16,20,0,0.155727709,0
2018-12-16,21,0,0.150859227,0
2018-12-16,22,0,0.085199541,0
2018-12-16,23,0,0.075687393,0
,,,,
2018-12-17,0,0,0.069886259,0
2018-12-17,1,0,0.069106894,0
2018-12-17,2,0,0.067624596,0
2018-12-17,3,0,0.066784809,0
2018-12-17,4,0,0.067236608,0
2018-12-17,5,0,0.069924434,0
2018-12-17,6,0,0.084027463,0
2018-12-17,7,12,0.088082091,0.001056985092
2018-12-17,8,65,0.086019552,0.00559127088
2018-12-17,9,93,0.086381941,0.008033520513
2018-12-17,10,13,0.086169134,0.001120198742
2018-12-17,11,37,0.086175201,0.003188482437
2018-12-17,12,9,0.153892232,0.001385030088
2018-12-17,13,7,0.153753843,0.001076276901
2018-12-17,14,0,0.153355789,0
2018-12-17,15,0,0.153696098,0
2018-12-17,16,0,0.153534322,0
2018-12-17,17,0,0.154514149,0
2018-12-17,18,0,0.155082083,0
2018-12-17,19,0,0.155538629,0
2018-12-17,20,0,0.156093416,0
2018-12-17,21,0,0.153020344,0
2018-12-17,22,0,0.081494826,0
2018-12-17,23,0,0.07484079,0
,,,,
2018-12-18,0,0,0.070163739,0
2018-12-18,1,0,0.068149291,0
2018-12-18,2,0,0.06691817,0
2018-12-18,3,0,0.066015324,0
2018-12-18,4,0,0.065991704,0
2018-12-18,5,0,0.068101116,0
2018-12-18,6,0,0.077429441,0
2018-12-18,7,50,0.084312258,0.0042156129
2018-12-18,8,103,0.084237239,0.008676435617
2018-12-18,9,94,0.083941379,0.007890489626
2018-12-18,10,71,0.083255799,0.005911161729
2018-12-18,11,110,0.081704359,0.00898747949
2018-12-18,12,112,0.149073573,0.01669624018
2018-12-18,13,7,0.149782997,0.001048480979
2018-12-18,14,0,0.150169234,0
2018-12-18,15,0,0.150696288,0
2018-12-18,16,0,0.150370502,0
2018-12-18,17,0,0.151348309,0
2018-12-18,18,0,0.151174322,0
2018-12-18,19,103,0.151818339,0.01563728892
2018-12-18,20,21,0.151060045,0.003172260945
2018-12-18,21,0,0.152106222,0
2018-12-18,22,0,0.08179569,0
2018-12-18,23,0,0.075347048,0
,,,,
2018-12-19,0,0,0.072788847,0
2018-12-19,1,0,0.067990197,0
2018-12-19,2,0,0.064356502,0
2018-12-19,3,0,0.063693527,0
2018-12-19,4,0,0.062745563,0
2018-12-19,5,0,0.065608561,0
2018-12-19,6,0,0.070429436,0
2018-12-19,7,9,0.082165585,7.39E-04
2018-12-19,8,105,0.082140881,0.008624792505
2018-12-19,9,96,0.083024631,0.007970364576
2018-12-19,10,136,0.081050104,0.01102281414
2018-12-19,11,61,0.080306767,0.004898712787
2018-12-19,12,17,0.147875629,0.002513885693
2018-12-19,13,203,0.148156844,0.03007583933
2018-12-19,14,34,0.148076806,0.005034611404
2018-12-19,15,9,0.149092714,0.001341834426
2018-12-19,16,9,0.14931085,0.00134379765
2018-12-19,17,9,0.151214692,0.001360932228
2018-12-19,18,8,0.156645872,0.001253166976
2018-12-19,19,9,0.156345175,0.001407106575
2018-12-19,20,8,0.154081455,0.00123265164
2018-12-19,21,21,0.150201873,0.003154239333
2018-12-19,22,9,0.081343303,7.32E-04
2018-12-19,23,9,0.077007242,6.93E-04
,,,,
2018-12-20,0,10,0.082603265,8.26E-04
2018-12-20,1,9,0.075673538,6.81E-04
2018-12-20,2,9,0.071346735,6.42E-04
2018-12-20,3,9,0.071066202,6.40E-04
2018-12-20,4,10,0.071055549,7.11E-04
2018-12-20,5,9,0.073261335,6.59E-04
2018-12-20,6,9,0.079449587,7.15E-04
2018-12-20,7,8,0.084843928,6.79E-04
2018-12-20,8,146,0.084971247,0.01240580206
2018-12-20,9,107,0.084364754,0.009027028678
2018-12-20,10,130,0.082512639,0.01072664307
2018-12-20,11,97,0.082352747,0.007988216459
2018-12-20,12,67,0.148076457,0.009921122619
2018-12-20,13,60,0.148518191,0.00891109146
2018-12-20,14,47,0.148351232,0.006972507904
2018-12-20,15,8,0.149078059,0.001192624472
2018-12-20,16,9,0.149271866,0.001343446794
2018-12-20,17,9,0.152334229,0.001371008061
2018-12-20,18,9,0.15272696,0.00137454264
2018-12-20,19,9,0.152065954,0.001368593586
2018-12-20,20,9,0.152933105,0.001376397945
2018-12-20,21,9,0.153237808,0.001379140272
2018-12-20,22,9,0.083692683,7.53E-04
2018-12-20,23,9,0.082121659,7.39E-04
,,,,
2018-12-21,0,10,0.079640655,7.96E-04
2018-12-21,1,9,0.073041302,6.57E-04
2018-12-21,2,10,0.070771376,7.08E-04
2018-12-21,3,9,0.068509871,6.17E-04
2018-12-21,4,10,0.068402127,6.84E-04
2018-12-21,5,9,0.06883319,6.19E-04
2018-12-21,6,9,0.073649109,6.63E-04
2018-12-21,7,33,0.082516206,0.002723034798
2018-12-21,8,211,0.080826268,0.01705434255
2018-12-21,9,140,0.080305679,0.01124279506
2018-12-21,10,164,0.079584411,0.0130518434
2018-12-21,11,180,0.079345326,0.01428215868
2018-12-21,12,153,0.145418051,0.0222489618
2018-12-21,13,159,0.146454638,0.02328628744
2018-12-21,14,40,0.1438769,0.005755076
2018-12-21,15,9,0.144244143,0.001298197287
2018-12-21,16,9,0.14488528,0.00130396752
2018-12-21,17,9,0.148145034,0.001333305306
2018-12-21,18,9,0.148562145,0.001337059305
2018-12-21,19,9,0.149492978,0.001345436802
2018-12-21,20,9,0.150788074,0.001357092666
2018-12-21,21,10,0.150431948,0.00150431948
2018-12-21,22,8,0.082454713,6.60E-04
2018-12-21,23,9,0.080824075,7.27E-04
,,,,
2018-12-22,0,9,0.083669655,7.53E-04
2018-12-22,1,10,0.078134287,7.81E-04
2018-12-22,2,9,0.074985461,6.75E-04
2018-12-22,3,9,0.074487752,6.70E-04
2018-12-22,4,10,0.074633147,7.46E-04
2018-12-22,5,9,0.074718608,6.72E-04
2018-12-22,6,9,0.075409934,6.79E-04
2018-12-22,7,9,0.079384999,7.14E-04
2018-12-22,8,9,0.077221403,6.95E-04
2018-12-22,9,9,0.081835577,7.37E-04
2018-12-22,10,8,0.08265762,6.61E-04
2018-12-22,11,9,0.082084797,7.39E-04
2018-12-22,12,12,0.1502011,0.0018024132
2018-12-22,13,12,0.150886174,0.001810634088
2018-12-22,14,9,0.151315406,0.001361838654
2018-12-22,15,9,0.151705932,0.001365353388
2018-12-22,16,9,0.151877211,0.001366894899
2018-12-22,17,9,0.153566034,0.001382094306
2018-12-22,18,9,0.155170752,0.001396536768
2018-12-22,19,9,0.154893027,0.001394037243
2018-12-22,20,9,0.155398474,0.001398586266
2018-12-22,21,8,0.155721666,0.001245773328
2018-12-22,22,9,0.086866182,7.82E-04
2018-12-22,23,9,0.086637329,7.80E-04
,,,,
2018-12-23,0,9,0.088666948,7.98E-04
2018-12-23,1,9,0.085352548,7.68E-04
2018-12-23,2,10,0.079557346,7.96E-04
2018-12-23,3,9,0.075860772,6.83E-04
2018-12-23,4,9,0.0754107,6.79E-04
2018-12-23,5,10,0.074864276,7.49E-04
2018-12-23,6,9,0.075667287,6.81E-04
2018-12-23,7,9,0.078516111,7.07E-04
2018-12-23,8,9,0.077953369,7.02E-04
2018-12-23,9,8,0.082916691,6.63E-04
2018-12-23,10,9,0.083395375,7.51E-04
2018-12-23,11,9,0.083659101,7.53E-04
2018-12-23,12,8,0.152387163,0.001219097304
2018-12-23,13,9,0.153368009,0.001380312081
2018-12-23,14,9,0.153567584,0.001382108256
2018-12-23,15,9,0.152761952,0.001374857568
